method,model,n_features,selected_features,rmse,mae,r2
RFE,Random Forest,5,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.1026934393597961,,
RFE,Random Forest,5,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.1026934393597961,,
RFE,Random Forest,5,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.1026934393597961,,
RFE,XGBoost,5,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",0.1027237578404615,0.0775494442469593,0.037074828683916
RFE,XGBoost,15,"['return_10d', 'return_20d', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'macd', 'macd_signal', 'macd_hist', 'volatility_20', 'atr_14', 'volume_sma_20']",0.1027331849078055,0.0762857895990917,0.03689808326189
RFE,XGBoost,15,"['return_10d', 'return_20d', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'macd', 'macd_signal', 'macd_hist', 'volatility_20', 'atr_14', 'volume_sma_20', 'volume_ratio_20']",0.1027618944013517,0.0764785197827861,0.0363597171671883
RFE,XGBoost,15,"['return_10d', 'return_20d', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'macd', 'macd_signal', 'macd_hist', 'volatility_20', 'atr_14', 'volume_sma_20']",0.1027629495712903,0.0760731387671811,0.0363399275460583
RFE,XGBoost,10,"['sma_5', 'sma_20', 'sma_60', 'price_to_sma_60', 'rsi_14', 'macd', 'macd_hist', 'volatility_20', 'atr_14', 'volume_sma_20']",0.1027676707514874,0.0760465575904226,0.0362513797303344
RFE,Random Forest,5,"['sma_5', 'sma_60', 'price_to_sma_20', 'volatility_20', 'atr_14']",0.1027694871491562,,
RFE,Random Forest,5,"['sma_5', 'sma_60', 'price_to_sma_20', 'volatility_20', 'atr_14']",0.1027694871491562,,
RFE,XGBoost,15,"['return_10d', 'return_20d', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'macd', 'macd_signal', 'macd_hist', 'volatility_20', 'atr_14', 'volume_sma_20']",0.1027704626527535,0.0761820517414841,0.0361990144772796
RFE,XGBoost,5,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",0.1027720813218034,0.0762470261891279,0.0361686538644906
RFE,XGBoost,5,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",0.1027881921046406,0.0764941661516689,0.0358664454355535
RFE,XGBoost,15,"['return_10d', 'return_20d', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'macd', 'macd_signal', 'macd_hist', 'volatility_20', 'atr_14', 'volume_sma_20', 'volume_ratio_20']",0.102794587089016,0.0761050326791304,0.0357464742464809
RFE,XGBoost,10,"['sma_5', 'sma_60', 'price_to_sma_20', 'price_to_sma_60', 'macd', 'macd_signal', 'macd_hist', 'volatility_20', 'atr_14', 'volume_sma_20']",0.1028681297452413,0.0761687221811284,0.0343662628054486
RFE,XGBoost,5,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",0.1028757998068437,0.0776996142434327,0.0342222581192767
RFE,Random Forest,5,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.1028778319402684,,
RFE,Random Forest,5,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.1028778319402684,,
RFE,Random Forest,5,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.1028778319402684,,
RFE,XGBoost,20,"['return_5d', 'return_10d', 'return_20d', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_sma_20', 'volume_ratio_20']",0.1028836305260268,0.0764552764244332,0.0340752260255289
RFE,XGBoost,10,"['sma_5', 'sma_20', 'sma_60', 'price_to_sma_60', 'rsi_14', 'macd', 'macd_hist', 'volatility_20', 'atr_14', 'volume_sma_20']",0.1028968686437485,0.0761952251501851,0.0338266374315782
RFE,XGBoost,20,"['return_5d', 'return_10d', 'return_20d', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_sma_20', 'volume_ratio_20']",0.1029247636645893,0.0765528269494738,0.033302713241
RFE,XGBoost,10,"['sma_5', 'sma_20', 'sma_60', 'price_to_sma_60', 'rsi_14', 'macd', 'macd_hist', 'volatility_20', 'atr_14', 'volume_sma_20']",0.1029317381581995,0.0774503834752345,0.0331716961320713
RFE,XGBoost,10,"['sma_5', 'sma_60', 'price_to_sma_20', 'price_to_sma_60', 'macd', 'macd_signal', 'macd_hist', 'volatility_20', 'atr_14', 'volume_sma_20']",0.1029440919825133,0.0760166587793719,0.0329396055450513
RFE,XGBoost,5,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",0.1029922040445074,0.0760313910548308,0.0320354615330659
RFE,XGBoost,10,"['sma_5', 'sma_20', 'sma_60', 'price_to_sma_60', 'rsi_14', 'macd', 'macd_hist', 'volatility_20', 'atr_14', 'volume_sma_20']",0.1030351748559162,0.0773241368394558,0.0312275771097548
RFE,XGBoost,5,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",0.10305271641224,0.0774816490934622,0.030897685446544
RFE,XGBoost,20,"['return_5d', 'return_10d', 'return_20d', 'gap', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_sma_20', 'volume_ratio_20']",0.1030613701522624,0.076385788187017,0.0307349199825184
RFE,Random Forest,5,"['sma_5', 'sma_60', 'price_to_sma_20', 'volatility_20', 'atr_14']",0.1031016859630421,,
RFE,Random Forest,5,"['sma_5', 'sma_60', 'price_to_sma_20', 'volatility_20', 'atr_14']",0.1031016859630421,,
RFE,Random Forest,5,"['sma_5', 'sma_60', 'price_to_sma_20', 'volatility_20', 'atr_14']",0.1031016859630421,,
RFE,Random Forest,5,"['sma_5', 'sma_60', 'price_to_sma_20', 'volatility_20', 'atr_14']",0.1031016859630421,,
RFE,Random Forest,5,"['sma_5', 'sma_60', 'price_to_sma_20', 'volatility_20', 'atr_14']",0.1031016859630421,,
RFE,Random Forest,5,"['sma_5', 'sma_60', 'price_to_sma_20', 'volatility_20', 'atr_14']",0.1031016859630421,,
RFE,XGBoost,25,"['return_1d', 'return_5d', 'return_10d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20']",0.1031478325801548,0.077012453823868,0.0291079250045984
RFE,XGBoost,25,"['return_1d', 'return_5d', 'return_10d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20']",0.1031478325801548,0.077012453823868,0.0291079250045984
RFE,Random Forest,5,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.1032387693019097,,
RFE,Random Forest,5,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.1032387693019097,,
RFE,Random Forest,5,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.1032387693019097,,
RFE,Random Forest,5,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.1032387693019097,,
RFE,Random Forest,5,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.1032387693019097,,
RFE,Random Forest,5,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.1032387693019097,,
RFE,Random Forest,5,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.1032387693019097,,
RFE,XGBoost,5,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",0.1032584477607417,0.0768013346671166,0.0270244495762959
RFE,XGBoost,25,"['return_1d', 'return_5d', 'return_10d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20']",0.1033592115192367,0.0765083953124639,0.0251245854676731
